Date,Open,High,Low,Close,Volume,Momentum,ET,Signal,Position,Momentum_weekly,Momentum_Status
2021-05-05,53252.164063,57911.363281,52969.054688,57424.007813,69241316747.0,3517.9179689999946,1,1,-1.0,1196.3984369999998,1
2021-06-03,37599.410156,39478.953125,37243.972656,39208.765625,35460750427.0,-1573.972655999998,1,-1,1.0,-13946.707031999998,0
2021-06-07,35835.265625,36790.570313,33480.640625,33560.707031,33683936663.0,-5145.273438000004,1,-1,1.0,-13946.707031999998,0
2021-06-17,38341.421875,39513.671875,37439.675781,38053.503906,37096670047.0,-1155.261719000002,1,-1,1.0,-13946.707031999998,0
2021-06-20,35563.140625,36059.484375,33432.074219,35698.296875,36664034054.0,-164.0820309999981,1,-1,1.0,-13946.707031999998,0
2021-07-08,33889.605469,33907.90625,32133.183594,32877.371094,29910396946.0,-1785.066405999998,1,-1,1.0,-13946.707031999998,0
2021-07-11,33509.078125,34584.703125,33346.738281,34240.1875,20108729370.0,-409.4570309999981,1,-1,1.0,-13946.707031999998,0
2021-10-01,43816.742188,48436.011719,43320.023438,48116.941406,42850641582.0,849.421875,1,1,-1.0,2865.59375,1
2021-10-03,47680.027344,49130.691406,47157.289063,48199.953125,26638115879.0,939.734375,1,1,-1.0,2865.59375,1
2021-11-05,61460.078125,62541.46875,60844.609375,61125.675781,30605102446.0,433.4101559999981,1,1,-1.0,2865.59375,1
2021-12-23,48626.34375,51332.339844,48065.835938,50784.539063,28223878108.0,3112.4179689999946,1,1,-1.0,643.7460940000019,1
2021-12-31,47169.371094,48472.527344,45819.953125,46306.445313,36974172400.0,104.30078199999843,1,1,-1.0,643.7460940000019,1
2022-01-13,43946.7417177351,44278.4232566127,42447.0441520643,42591.5722580306,47691135081.85,-569.3574299693937,1,-1,1.0,-6288.3515886643,0
2022-01-18,42250.0731446126,42534.4039185478,41392.216698751,42375.6328430686,22417209226.95,-360.2212764391006,1,-1,1.0,-6288.3515886643,0
2022-02-13,42236.566406,42693.054688,41950.941406,42197.515625,14741589015.0,-214.91861091739702,1,-1,1.0,-6288.3515886643,0
2022-02-16,44578.2762069386,44578.2762069386,43456.6929350665,43961.8593882795,19792547656.71,-376.93748672049696,1,-1,1.0,-6288.3515886643,0
2022-03-04,42458.140625,42479.613281,38805.847656,39137.605469,28516271427.0,-76.6132809999981,1,-1,1.0,-6288.3515886643,0
2022-03-07,38429.3027830169,39430.2280590762,37260.2017138385,38062.040205582,28546143502.55,-5131.194169417999,1,-1,1.0,-6288.3515886643,0
2022-03-16,39335.569403716,41465.4517139286,39022.3470871459,41143.9280403474,39616916192.41,-838.9983144598009,1,-1,1.0,-6288.3515886643,0
2022-04-06,45544.3556195233,45544.3556195233,43193.9540005006,43206.7376725735,39393395787.79,-754.1953863804956,1,-1,1.0,-4355.948548682798,0
2022-04-26,40448.4226744585,40713.8895679717,37884.9860105779,38117.4625078349,34569088415.86,-2009.7195770938997,1,-1,1.0,-4355.948548682798,0
2022-05-27,29251.1408637204,29346.9430247971,28326.6136487276,28627.5748531586,36582005748.16,-655.5289583843987,1,-1,1.0,-3858.338483022104,0
2022-06-05,29835.1181317702,30117.7434474995,29574.4495314888,29906.6617477915,17264085440.89,-417.0601474778996,1,-1,1.0,-3858.338483022104,0
2022-06-11,29084.666534528,29401.9162962048,28236.2119169078,28360.811358542,27246574438.64,-662.6766807232998,1,-1,1.0,-3858.338483022104,0
2022-07-03,19242.0947628176,19558.2688658035,18966.9506341661,19297.0760827928,16390821947.43,-1256.1957389544004,1,-1,1.0,-3858.338483022104,0
2022-07-10,21591.0808021627,21591.0808021627,20727.123494758,20860.4493930623,28688807249.03,-166.84591574440128,1,-1,1.0,-3858.338483022104,0
2022-08-02,23308.434172793,23415.041329171,22710.0839796372,22978.1165929475,28389250717.43,-411.3162535320007,1,-1,1.0,-3858.338483022104,0
2022-08-19,23213.3132415999,23213.3132415999,20868.847438639,20877.5536922194,40509610259.78,-2411.760585194701,1,-1,1.0,-3858.338483022104,0
2022-09-15,20242.2899083879,20318.1663918808,19636.7337742868,19701.2099625661,36389011503.32,-425.9303068648005,1,-1,1.0,-3858.338483022104,0
2022-09-18,20127.2339476275,20127.2339476275,19387.4913478311,19419.506190767,31254779143.63,-567.2076484530007,1,-1,1.0,-3858.338483022104,0
2022-09-21,18891.2828895318,19674.6303314785,18290.315188225,18547.3997598262,46363793974.56,-742.9241137675999,1,-1,1.0,-3858.338483022104,0
2022-09-23,19412.3999254216,19464.6723483926,18617.5530098977,19297.6378400087,38896078052.07,-2083.515015277899,1,-1,1.0,-3858.338483022104,0
2022-10-17,19268.5621023075,19635.8022813631,19173.3347235856,19550.7572999132,27472552998.34,-72.82303464280267,1,-1,1.0,-1592.3565922003982,0
2022-11-08,20600.6727471588,20664.6065202996,17603.5443690046,18541.2718532238,118992465606.57,-1554.5846022234,1,-1,1.0,-1592.3565922003982,0
2022-11-24,16611.6376723586,16771.4752431789,16501.7680548846,16604.4650179543,26129037414.48,-982.3064315930023,1,-1,1.0,-1592.3565922003982,0
2022-11-28,16440.2220878988,16482.9335433104,16054.5302153408,16217.3224676411,27743025156.05,-400.8767612497013,1,-1,1.0,-1592.3565922003982,0
2022-12-16,17364.5464432688,17505.5250524957,16584.7013982805,16647.4834788286,24031608959.5,-441.1769305736998,1,-1,1.0,-1592.3565922003982,0
2023-01-03,16688.8472638592,16760.4474659846,16622.3703282563,16679.8570798137,13903079206.51,-226.4481306077978,1,-1,1.0,-1592.3565922003982,0
2023-02-07,22757.2675418795,23310.975071817,22756.2582769853,23264.2911876916,27187964470.79,627.821876500002,1,1,-1.0,1434.3730080494024,1
2023-02-15,22220.5853384745,24307.8413284844,22082.7690807679,24307.8413284844,32483312909.3,584.0716749997009,1,1,-1.0,1434.3730080494024,1
2023-03-13,22156.4066753221,24550.8374857613,21918.19993089,24197.5329977753,49466362688.47,674.6610832693004,1,1,-1.0,1434.3730080494024,1
2023-04-05,28169.726952854,28739.2381106536,27843.7644954278,28177.9835569508,17052315986.14,870.5467885375001,1,1,-1.0,1434.3730080494024,1
2023-04-07,28038.9669696205,28111.5932841216,27794.0318258101,27925.8594084129,10861680497.27,432.57426478940033,1,1,-1.0,1434.3730080494024,1
2023-05-03,28680.494409625,29259.5332879995,28178.3892452007,29006.3076709086,19122972518.31,183.62719800769992,1,1,-1.0,1434.3730080494024,1
2023-05-27,26720.1825135591,26888.883370776,26621.1414051027,26868.3538184312,7892015141.24,84.27525754879753,1,1,-1.0,1434.3730080494024,1
2023-06-02,26824.5569811195,27303.8616872678,26574.6444212308,27249.5889490884,14837414999.85,359.4607066801,1,1,-1.0,1434.3730080494024,1
2023-06-04,27075.1220733877,27407.0185695383,26968.2241409056,27119.0671931263,9360912318.14,365.24155407159924,1,1,-1.0,1434.3730080494024,1
2023-06-06,25732.1088628453,27313.8206824171,25434.8671315473,27238.7837262174,21929670692.82,13.057135582599585,1,1,-1.0,1434.3730080494024,1
2023-06-19,26335.4423696201,26984.6115264724,26312.8318076296,26851.0285455213,12826986222.15,1090.9315459852005,1,1,-1.0,1434.3730080494024,1
2023-07-10,30172.4229553721,31026.0837999654,29985.3947006345,30414.4715205927,14828209155.42,143.34050385299997,1,1,-1.0,1434.3730080494024,1
2023-07-12,30622.2469455637,30959.9655594585,30228.8352203163,30391.6461439343,14805659716.84,305.3999554094007,1,1,-1.0,1434.3730080494024,1
2023-09-08,26245.2082080784,26414.005974773,25677.4795806905,25905.6537515133,10817356399.67,-142.01509953480127,1,-1,1.0,-741.0531769038971,0
2023-10-12,26873.2924913908,26921.4389028815,26558.320783999,26756.7986388286,9392909295.17,-264.7481259099004,1,-1,1.0,-79.38721653649918,0
2023-11-30,37861.1188827035,38141.753547202,37531.1416285477,37712.7477716325,18115982627.42,1557.9785302640012,1,1,-1.0,4453.942847353999,1
2023-12-21,43648.1249306302,44240.6691278117,43330.0526463835,43869.1508569937,22452766168.52,576.4866177856966,1,1,-1.0,4453.942847353999,1
2023-12-23,44012.1986320734,44015.6986411337,43351.3557019809,43739.5421372235,13507796558.22,13.556324791999941,1,1,-1.0,4453.942847353999,1
2023-12-25,43010.5729205333,43765.0921434755,42765.7711390539,43613.1420846622,21115795370.27,2369.308770038202,1,1,-1.0,4453.942847353999,1
2023-12-29,42614.6438924239,43124.3258597128,41424.0606411494,42099.40280858,26000021055.12,169.64441567900212,1,1,-1.0,4453.942847353999,1
